Time for matrix multiplication: 0.001 s, for threads 1 , for matrix size 100 
Time for matrix multiplication: 0.001 s, for threads 2 , for matrix size 100 
Time for matrix multiplication: 0.003 s, for threads 4 , for matrix size 100 
Time for matrix multiplication: 0.003 s, for threads 1 , for matrix size 200 
Time for matrix multiplication: 0.002 s, for threads 2 , for matrix size 200 
Time for matrix multiplication: 0.002 s, for threads 4 , for matrix size 200 
Time for matrix multiplication: 0.007 s, for threads 1 , for matrix size 300 
Time for matrix multiplication: 0.003 s, for threads 2 , for matrix size 300 
Time for matrix multiplication: 0.015 s, for threads 4 , for matrix size 300 
Time for matrix multiplication: 0.012 s, for threads 1 , for matrix size 400 
Time for matrix multiplication: 0.005 s, for threads 2 , for matrix size 400 
Time for matrix multiplication: 0.006 s, for threads 4 , for matrix size 400 
Time for matrix multiplication: 0.021 s, for threads 1 , for matrix size 500 
Time for matrix multiplication: 0.009 s, for threads 2 , for matrix size 500 
Time for matrix multiplication: 0.010 s, for threads 4 , for matrix size 500 
Time for matrix multiplication: 0.031 s, for threads 1 , for matrix size 600 
Time for matrix multiplication: 0.040 s, for threads 2 , for matrix size 600 
Time for matrix multiplication: 0.016 s, for threads 4 , for matrix size 600 
Time for matrix multiplication: 0.040 s, for threads 1 , for matrix size 700 
Time for matrix multiplication: 0.029 s, for threads 2 , for matrix size 700 
Time for matrix multiplication: 0.028 s, for threads 4 , for matrix size 700 
Time for matrix multiplication: 0.060 s, for threads 1 , for matrix size 800 
Time for matrix multiplication: 0.061 s, for threads 2 , for matrix size 800 
Time for matrix multiplication: 0.042 s, for threads 4 , for matrix size 800 
Time for matrix multiplication: 0.090 s, for threads 1 , for matrix size 900 
Time for matrix multiplication: 0.057 s, for threads 2 , for matrix size 900 
Time for matrix multiplication: 0.053 s, for threads 4 , for matrix size 900 
Time for matrix multiplication: 0.127 s, for threads 1 , for matrix size 1000 
Time for matrix multiplication: 0.072 s, for threads 2 , for matrix size 1000 
Time for matrix multiplication: 0.073 s, for threads 4 , for matrix size 1000 
Time for matrix multiplication: 1.400 s, for threads 1 , for matrix size 2000 
Time for matrix multiplication: 0.518 s, for threads 2 , for matrix size 2000 
Time for matrix multiplication: 0.958 s, for threads 4 , for matrix size 2000 
Time for matrix multiplication: 3.248 s, for threads 1 , for matrix size 3000 
Time for matrix multiplication: 2.462 s, for threads 2 , for matrix size 3000 
Time for matrix multiplication: 2.080 s, for threads 4 , for matrix size 3000 
Time for matrix multiplication: 7.688 s, for threads 1 , for matrix size 4000 
Time for matrix multiplication: 4.622 s, for threads 2 , for matrix size 4000 
Time for matrix multiplication: 5.170 s, for threads 4 , for matrix size 4000 
Time for matrix multiplication: 13.908 s, for threads 1 , for matrix size 5000 
Time for matrix multiplication: 8.307 s, for threads 2 , for matrix size 5000 
Time for matrix multiplication: 8.447 s, for threads 4 , for matrix size 5000 
Time for matrix multiplication: 23.052 s, for threads 1 , for matrix size 6000 
Time for matrix multiplication: 12.865 s, for threads 2 , for matrix size 6000 
Time for matrix multiplication: 14.828 s, for threads 4 , for matrix size 6000 
Time for matrix multiplication: 37.008 s, for threads 1 , for matrix size 7000 
Time for matrix multiplication: 20.013 s, for threads 2 , for matrix size 7000 
Time for matrix multiplication: 22.478 s, for threads 4 , for matrix size 7000 
Time for matrix multiplication: 55.357 s, for threads 1 , for matrix size 8000 
Time for matrix multiplication: 29.848 s, for threads 2 , for matrix size 8000 
Time for matrix multiplication: 33.344 s, for threads 4 , for matrix size 8000 
Time for matrix multiplication: 325.142 s, for threads 2 , for matrix size 9000 
